Epoch 6 It 4000 | Dev PP = 1411.1724071690414
Epoch 6 It 4000 | Test PP = 1414.9891855010549
Epoch 6 It 4500 | Dev PP = 1416.9826906601168
Epoch 6 It 4500 | Test PP = 1420.979711452962
Epoch 6 It 5000 | Dev PP = 1428.083021887915
Epoch 6 It 5000 | Test PP = 1431.7083959639401
Epoch 6 It 5500 | Dev PP = 1419.7388330153167
Epoch 6 It 5500 | Test PP = 1423.7994089234492
Epoch 6 It 6000 | Dev PP = 1411.8450070977176
Epoch 6 It 6000 | Test PP = 1416.4600923980222
Epoch 6 It 6500 | Dev PP = 1419.1258591660687
Epoch 6 It 6500 | Test PP = 1424.0240871142546
Epoch 6 It 7000 | Dev PP = 1427.882034036634
Epoch 6 It 7000 | Test PP = 1432.9123597262956
Epoch 6 It 7500 | Dev PP = 1432.587735911697
Epoch 6 It 7500 | Test PP = 1438.3406052046882
Epoch 6 It 8000 | Dev PP = 1426.1902432085287
Epoch 6 It 8000 | Test PP = 1432.7021595432243
Epoch 6 It 8500 | Dev PP = 1430.422980844846
Epoch 6 It 8500 | Test PP = 1435.5214415542555
Epoch 6 It 9000 | Dev PP = 1428.9458215081074
Epoch 6 It 9000 | Test PP = 1432.8625053486473
Epoch 6 It 9500 | Dev PP = 1423.9460948844887
Epoch 6 It 9500 | Test PP = 1427.5339915796987
Epoch 6 It 10000 | Dev PP = 1425.5656008382282
Epoch 6 It 10000 | Test PP = 1428.8804266692825
Epoch 6 It 10500 | Dev PP = 1433.9868932500451
Epoch 6 It 10500 | Test PP = 1436.7135877355208
Epoch 7 It 500 | Dev PP = 1417.0391662224208
Epoch 7 It 500 | Test PP = 1419.9763932802168
Epoch 7 It 1000 | Dev PP = 1412.9289747520218
Epoch 7 It 1000 | Test PP = 1416.1734059115993
Epoch 7 It 1500 | Dev PP = 1410.8934433780041
Epoch 7 It 1500 | Test PP = 1414.453315705873
Epoch 7 It 2000 | Dev PP = 1409.303661398903
Epoch 7 It 2000 | Test PP = 1413.332722602026
Epoch 7 It 2500 | Dev PP = 1405.730641813193
Epoch 7 It 2500 | Test PP = 1409.8520384972046
Epoch 7 It 3000 | Dev PP = 1409.169666813764
Epoch 7 It 3000 | Test PP = 1413.2972023551622
Epoch 7 It 3500 | Dev PP = 1416.4354175404953
Epoch 7 It 3500 | Test PP = 1420.0536984881146
Epoch 7 It 4000 | Dev PP = 1411.9729742260124
Epoch 7 It 4000 | Test PP = 1415.7035035752615
Epoch 7 It 4500 | Dev PP = 1417.7197363101259
Epoch 7 It 4500 | Test PP = 1421.6279318594306
Epoch 7 It 5000 | Dev PP = 1428.5258819540738
Epoch 7 It 5000 | Test PP = 1432.0739921057009
Epoch 7 It 5500 | Dev PP = 1420.6669440809728
Epoch 7 It 5500 | Test PP = 1424.620740404241
Epoch 7 It 6000 | Dev PP = 1412.371816503226
Epoch 7 It 6000 | Test PP = 1416.8577860452488
Epoch 7 It 6500 | Dev PP = 1419.7068923018521
Epoch 7 It 6500 | Test PP = 1424.4866964280181
Epoch 7 It 7000 | Dev PP = 1446.4208068246799
Epoch 7 It 7000 | Test PP = 1452.7269537503053
Epoch 7 It 7500 | Dev PP = 1435.6886855309338
Epoch 7 It 7500 | Test PP = 1441.826280733908
Epoch 7 It 8000 | Dev PP = 1425.946875308439
Epoch 7 It 8000 | Test PP = 1432.5605129214694
Epoch 7 It 8500 | Dev PP = 1430.5234115538055
Epoch 7 It 8500 | Test PP = 1435.252307475255
Epoch 7 It 9000 | Dev PP = 1430.6872543426791
Epoch 7 It 9000 | Test PP = 1434.2869707851594
Epoch 7 It 9500 | Dev PP = 1425.8708453679058
Epoch 7 It 9500 | Test PP = 1429.1918395373207
Epoch 7 It 10000 | Dev PP = 1426.7891632638941
Epoch 7 It 10000 | Test PP = 1429.8897220653537
Epoch 7 It 10500 | Dev PP = 1434.751460533103
Epoch 7 It 10500 | Test PP = 1437.3043221051219
Epoch 8 It 500 | Dev PP = 1418.319417157678
Epoch 8 It 500 | Test PP = 1421.0766875944912
Epoch 8 It 1000 | Dev PP = 1413.7842702332425
Epoch 8 It 1000 | Test PP = 1416.871294363601
Epoch 8 It 1500 | Dev PP = 1411.778905800964
Epoch 8 It 1500 | Test PP = 1415.1756014066266
Epoch 8 It 2000 | Dev PP = 1410.9653279437846
Epoch 8 It 2000 | Test PP = 1414.5397928417672
Epoch 8 It 2500 | Dev PP = 1408.4176271104495
Epoch 8 It 2500 | Test PP = 1412.2882696741867
Epoch 8 It 3000 | Dev PP = 1409.7741068390567
Epoch 8 It 3000 | Test PP = 1413.7852655885413
Epoch 8 It 3500 | Dev PP = 1416.6232097036327
Epoch 8 It 3500 | Test PP = 1420.730051925126
Epoch 8 It 4000 | Dev PP = 1412.046587077294
Epoch 8 It 4000 | Test PP = 1415.6163893654107
Epoch 8 It 4500 | Dev PP = 1418.075857392325
Epoch 8 It 4500 | Test PP = 1421.8108509795973
Epoch 8 It 5000 | Dev PP = 1429.0553729460828
Epoch 8 It 5000 | Test PP = 1432.4240594295768
Epoch 8 It 5500 | Dev PP = 1421.3678860332213
Epoch 8 It 5500 | Test PP = 1425.1554510153226
Epoch 8 It 6000 | Dev PP = 1412.8284078425852
Epoch 8 It 6000 | Test PP = 1417.179925218733
Epoch 8 It 6500 | Dev PP = 1419.9084054830469
Epoch 8 It 6500 | Test PP = 1424.5506743098374
Epoch 8 It 7000 | Dev PP = 1452.4868989968375
Epoch 8 It 7000 | Test PP = 1458.2450053991042
Epoch 8 It 7500 | Dev PP = 1438.7350896599316
Epoch 8 It 7500 | Test PP = 1444.992195070019
Epoch 8 It 8000 | Dev PP = 1425.567322470908
Epoch 8 It 8000 | Test PP = 1431.9157422125309
Epoch 8 It 8500 | Dev PP = 1431.7831065882929
Epoch 8 It 8500 | Test PP = 1436.374207483341
Epoch 8 It 9000 | Dev PP = 1433.1226880381494
Epoch 8 It 9000 | Test PP = 1436.5761229123523
Epoch 8 It 9500 | Dev PP = 1427.9522556780573
Epoch 8 It 9500 | Test PP = 1431.1445957337348
Epoch 8 It 10000 | Dev PP = 1430.2707419775168
Epoch 8 It 10000 | Test PP = 1433.2026318230937
Epoch 8 It 10500 | Dev PP = 1439.5993802609346
Epoch 8 It 10500 | Test PP = 1441.9287051968395
Epoch 9 It 500 | Dev PP = 1420.0684170708603
Epoch 9 It 500 | Test PP = 1422.6876291014687
Epoch 9 It 1000 | Dev PP = 1413.8983583166137
Epoch 9 It 1000 | Test PP = 1416.9360621154387
Epoch 9 It 1500 | Dev PP = 1411.5863106874094
Epoch 9 It 1500 | Test PP = 1414.9391279469291
Epoch 9 It 2000 | Dev PP = 1411.443553706576
Epoch 9 It 2000 | Test PP = 1414.9451449524065
Epoch 9 It 2500 | Dev PP = 1409.5385942750147
Epoch 9 It 2500 | Test PP = 1413.3003881611469
Epoch 9 It 3000 | Dev PP = 1409.5767472470902
Epoch 9 It 3000 | Test PP = 1413.5609245563053
Epoch 9 It 3500 | Dev PP = 1415.7028794175212
Epoch 9 It 3500 | Test PP = 1419.1597664426365
